#Time[sec]	Frequency[Hz]	Power[(m/s)^2ÅEs]
3.84	3.90625	9.40729675616064E-18
3.84	4.296875	3.67838619546458E-18
3.84	4.6875	5.41302579592157E-18
3.84	5.078125	2.31988568021387E-17
3.84	5.46875	2.27603790113076E-17
3.84	5.859375	2.83505634087533E-17
3.84	6.25	4.79746132968006E-17
3.84	6.640625	1.45128001470346E-17
3.84	7.03125	6.569382361741E-18
3.84	7.421875	4.06595516451325E-18
3.84	7.8125	1.43843569747844E-18
3.84	8.203125	1.06123591614994E-17
3.84	8.59375	2.38795840414654E-18
3.84	8.984375	3.8668113505675E-18
3.84	9.375	2.52895122881048E-18
3.84	9.765625	1.6487493278511E-19
3.84	10.15625	4.38823038834597E-18
3.84	10.546875	7.36732440370742E-18
3.84	10.9375	4.80055372850641E-18
3.84	11.328125	4.27803793649486E-18
3.84	11.71875	1.53165292401834E-17
3.84	12.109375	2.30602332320779E-18
3.84	12.5	2.72264120531802E-18
3.84	12.890625	7.49411090451287E-19
3.84	13.28125	1.12196629579521E-17
3.84	13.671875	1.18053372614085E-17
3.84	14.0625	1.37669390577099E-17
3.84	14.453125	2.27555543525083E-18
3.84	14.84375	6.57523344699554E-18
3.84	15.234375	7.63645032107003E-18
3.84	15.625	4.23661381594805E-18
3.84	16.015625	4.20284071457595E-18
3.84	16.40625	3.20014077984443E-18
3.84	16.796875	3.66486632432642E-18
3.84	17.1875	2.83735792124379E-18
3.84	17.578125	2.47892979305492E-17
3.84	17.96875	1.78978386605264E-17
3.84	18.359375	2.43018914673954E-17
3.84	18.75	1.56645628420183E-17
3.84	19.140625	1.05251074598737E-17
3.84	19.53125	6.67515401648308E-18
3.84	19.921875	4.31286821932016E-18
3.84	20.3125	1.89435114987143E-19
3.84	20.703125	1.32086374818007E-18
3.84	21.09375	1.60416679528727E-18
3.84	21.484375	6.89533098374569E-19
3.84	21.875	4.61488651909844E-18
3.84	22.265625	6.96691294583278E-19
3.84	22.65625	4.66523544266613E-18
3.84	23.046875	6.04468305719928E-18
3.84	23.4375	3.97565775053665E-18
3.84	23.828125	5.72546920204786E-18
3.84	24.21875	3.67529506959138E-18
3.84	24.609375	6.12087990452914E-18
3.84	25	1.01280021986113E-17
3.84	25.390625	9.19601945357383E-19
3.84	25.78125	2.96654300677175E-18
3.84	26.171875	1.62361483340297E-18
3.84	26.5625	2.06088201853754E-18
3.84	26.953125	5.52455425214555E-18
3.84	27.34375	5.02502385157415E-18
3.84	27.734375	1.11981220715252E-18
3.84	28.125	5.74769045922933E-18
3.84	28.515625	6.05232994116013E-18
3.84	28.90625	4.5641641845223E-18
3.84	29.296875	2.8476959415312E-17
3.84	29.6875	1.41059101871392E-17
3.84	30.078125	3.01819942352239E-18
3.84	30.46875	6.06050324679262E-18
3.84	30.859375	6.75154684897881E-19
3.84	31.25	1.43159643160295E-18
3.84	31.640625	9.32707848298712E-18
3.84	32.03125	6.13374504688759E-18
3.84	32.421875	3.00633366126537E-18
3.84	32.8125	1.95013166418555E-18
3.84	33.203125	6.75756010487706E-19
3.84	33.59375	5.38720008631489E-19
3.84	33.984375	8.49202373793203E-19
3.84	34.375	5.75658455311738E-18
3.84	34.765625	6.12061260723191E-18
3.84	35.15625	1.29683586992776E-19
3.84	35.546875	5.32596543481143E-19
3.84	35.9375	1.30753675739174E-18
3.84	36.328125	2.32939345730505E-18
3.84	36.71875	2.34659340136001E-18
3.84	37.109375	6.35862594190939E-18
3.84	37.5	1.315680152866E-17
3.84	37.890625	1.00472916059047E-19
3.84	38.28125	1.43338107165462E-17
3.84	38.671875	2.04186606591717E-17
3.84	39.0625	5.12258964980799E-18
3.84	39.453125	1.93105979965468E-18
3.84	39.84375	4.5124629481862E-18
3.84	40.234375	2.87426197350822E-18
3.84	40.625	6.04071486252177E-18
3.84	41.015625	1.3304262833477E-18
3.84	41.40625	2.41273743831181E-18
3.84	41.796875	1.31178121191719E-18
3.84	42.1875	8.42512058654347E-19
3.84	42.578125	1.47126576789673E-18
3.84	42.96875	2.08006982577167E-18
3.84	43.359375	1.58021334535677E-17
3.84	43.75	1.08877219048579E-17
3.84	44.140625	2.18737179822294E-18
3.84	44.53125	1.56252501423291E-18
3.84	44.921875	9.43934463029326E-19
3.84	45.3125	6.05263737473705E-19
3.84	45.703125	7.00979050612054E-20
3.84	46.09375	9.24005995090878E-21
3.84	46.484375	3.95128061350739E-20
3.84	46.875	2.9088468286335E-21
3.84	47.265625	3.46196921686216E-21
3.84	47.65625	3.71176962903804E-21
